2015-03-22 11:11:05 ERROR PacketManager:113 - package can't be read
2015-03-22 11:12:54 ERROR PacketManager:113 - package can't be read
2015-03-22 11:18:33 ERROR PacketManager:45 - cannot open streams
2015-03-22 11:29:33 ERROR PacketManager:113 - package can't be read
2015-03-22 11:31:10 ERROR PacketManager:45 - cannot open streams
2015-03-22 11:31:33 ERROR PacketManager:45 - cannot open streams
2015-03-22 11:35:54 ERROR PacketManager:45 - cannot open streams
2015-03-22 11:36:16 ERROR PacketManager:46 - cannot open streams
2015-03-22 11:51:25 ERROR PacketManager:46 - cannot open streams
2015-03-22 11:51:53 ERROR PacketManager:46 - cannot open streams
2015-03-22 12:29:08 ERROR PacketManager:13 - package can't be read
2015-03-22 12:29:37 ERROR PacketManager:13 - cannot open streams
2015-03-22 12:35:03 ERROR test:13 - package can't be read
2015-03-22 12:35:30 ERROR test:13 - cannot open streams
2015-03-22 12:35:46 ERROR test:13 - cannot open streams
2015-03-22 12:37:43 ERROR test:13 - package can't be read
2015-03-22 12:37:58 ERROR test:13 - cannot open streams
2015-03-22 12:39:13 ERROR test:13 - cannot open streams
2015-03-22 12:59:16 ERROR test:13 - package can't be read
2015-03-22 12:59:35 ERROR test:13 - package can't be read
2015-03-22 13:03:10 ERROR PacketManager:13 - package can't be read
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: cant' receive packages, diconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
2015-03-22 13:24:55 ERROR PacketManager:13 - IOException: can't send package, disconnected
